日期,NTD/USD,Date,Close,Adj Close,Dividends,Stock Splits
20090814,32.895,2009-08-14,32.895,32.895,0,0
20090817,32.985,2009-08-17,32.985,32.985,0,0
20090818,32.964,2009-08-18,32.964,32.964,0,0
20090819,33.01,2009-08-19,33.01,33.01,0,0
20090820,32.966,2009-08-20,32.966,32.966,0,0
20090821,32.906,2009-08-21,32.906,32.906,0,0
20090824,32.863,2009-08-24,32.863,32.863,0,0
20090825,32.92,2009-08-25,32.92,32.92,0,0
20090826,32.924,2009-08-26,32.924,32.924,0,0
20090827,32.916,2009-08-27,32.916,32.916,0,0
20090828,32.925,2009-08-28,32.925,32.925,0,0
20090831,32.923,2009-08-31,32.923,32.923,0,0
20090901,32.857,2009-09-01,32.857,32.857,0,0
20090902,32.918,2009-09-02,32.918,32.918,0,0
20090903,32.907,2009-09-03,32.907,32.907,0,0
20090904,32.905,2009-09-04,32.905,32.905,0,0
20090907,32.865,2009-09-07,32.865,32.865,0,0
20090908,32.76,2009-09-08,32.76,32.76,0,0
20090909,32.745,2009-09-09,32.745,32.745,0,0
20090910,32.649,2009-09-10,32.649,32.649,0,0
20090911,32.628,2009-09-11,32.628,32.628,0,0
20090914,32.668,2009-09-14,32.668,32.668,0,0
20090915,32.637,2009-09-15,32.637,32.637,0,0
20090916,32.492,2009-09-16,32.492,32.492,0,0
20090917,32.41,2009-09-17,32.41,32.41,0,0
20090918,32.458,2009-09-18,32.458,32.458,0,0
20090921,32.419,2009-09-21,32.419,32.419,0,0
20090922,32.386,2009-09-22,32.386,32.386,0,0
20090923,32.369,2009-09-23,32.369,32.369,0,0
20090924,32.395,2009-09-24,32.395,32.395,0,0
20090925,32.428,2009-09-25,32.428,32.428,0,0
20090928,32.475,2009-09-28,32.475,32.475,0,0
20090929,32.376,2009-09-29,32.376,32.376,0,0
20090930,32.2,2009-09-30,32.2,32.2,0,0
20091001,32.319,2009-10-01,32.319,32.319,0,0
20091002,32.35,2009-10-02,32.35,32.35,0,0
20091005,32.255,2009-10-05,32.255,32.255,0,0
20091006,32.18,2009-10-06,32.18,32.18,0,0
20091007,32.18,2009-10-07,32.18,32.18,0,0
20091008,32.143,2009-10-08,32.143,32.143,0,0
20091009,32.24,2009-10-09,32.24,32.24,0,0
20091012,32.29,2009-10-12,32.29,32.29,0,0
20091013,32.302,2009-10-13,32.302,32.302,0,0
20091014,32.242,2009-10-14,32.242,32.242,0,0
20091015,32.218,2009-10-15,32.218,32.218,0,0
20091016,32.3,2009-10-16,32.3,32.3,0,0
20091019,32.325,2009-10-19,32.325,32.325,0,0
20091020,32.275,2009-10-20,32.275,32.275,0,0
20091021,32.359,2009-10-21,32.359,32.359,0,0
20091022,32.403,2009-10-22,32.403,32.403,0,0
20091023,32.398,2009-10-23,32.398,32.398,0,0
20091026,32.394,2009-10-26,32.394,32.394,0,0
20091027,32.48,2009-10-27,32.48,32.48,0,0
20091028,32.496,2009-10-28,32.496,32.496,0,0
20091029,32.58,2009-10-29,32.58,32.58,0,0
20091030,32.535,2009-10-30,32.535,32.535,0,0
20091102,32.553,2009-11-02,32.553,32.553,0,0
20091103,32.575,2009-11-03,32.575,32.575,0,0
20091104,32.558,2009-11-04,32.558,32.558,0,0
20091105,32.536,2009-11-05,32.536,32.536,0,0
20091106,32.509,2009-11-06,32.509,32.509,0,0
20091109,32.365,2009-11-09,32.365,32.365,0,0
20091110,32.349,2009-11-10,32.349,32.349,0,0
20091111,32.31,2009-11-11,32.31,32.31,0,0
20091112,32.33,2009-11-12,32.33,32.33,0,0
20091113,32.339,2009-11-13,32.339,32.339,0,0
20091116,32.198,2009-11-16,32.198,32.198,0,0
20091117,32.12,2009-11-17,32.12,32.12,0,0
20091118,32.128,2009-11-18,32.128,32.128,0,0
20091119,32.29,2009-11-19,32.29,32.29,0,0
20091120,32.35,2009-11-20,32.35,32.35,0,0
20091123,32.267,2009-11-23,32.267,32.267,0,0
20091124,32.288,2009-11-24,32.288,32.288,0,0
20091125,32.236,2009-11-25,32.236,32.236,0,0
20091126,32.244,2009-11-26,32.244,32.244,0,0
20091127,32.345,2009-11-27,32.345,32.345,0,0
20091130,32.185,2009-11-30,32.185,32.185,0,0
20091201,32.199,2009-12-01,32.199,32.199,0,0
20091202,32.17,2009-12-02,32.17,32.17,0,0
20091203,32.15,2009-12-03,32.15,32.15,0,0
20091204,32.17,2009-12-04,32.17,32.17,0,0
20091207,32.28,2009-12-07,32.28,32.28,0,0
20091208,32.35,2009-12-08,32.35,32.35,0,0
20091209,32.349,2009-12-09,32.349,32.349,0,0
20091210,32.308,2009-12-10,32.308,32.308,0,0
20091211,32.278,2009-12-11,32.278,32.278,0,0
20091214,32.31,2009-12-14,32.31,32.31,0,0
20091215,32.281,2009-12-15,32.281,32.281,0,0
20091216,32.328,2009-12-16,32.328,32.328,0,0
20091217,32.348,2009-12-17,32.348,32.348,0,0
20091218,32.38,2009-12-18,32.38,32.38,0,0
20091221,32.384,2009-12-21,32.384,32.384,0,0
20091222,32.355,2009-12-22,32.355,32.355,0,0
20091223,32.36,2009-12-23,32.36,32.36,0,0
20091224,32.3,2009-12-24,32.3,32.3,0,0
20091225,32.274,2009-12-25,32.274,32.274,0,0
20091228,32.294,2009-12-28,32.294,32.294,0,0
20091229,32.29,2009-12-29,32.29,32.29,0,0
20091230,32.238,2009-12-30,32.238,32.238,0,0
20091231,32.03,2009-12-31,32.03,32.03,0,0
20100104,31.898,2010-01-04,31.898,31.898,0,0
20100105,31.86,2010-01-05,31.86,31.86,0,0
20100106,31.875,2010-01-06,31.875,31.875,0,0
20100107,31.877,2010-01-07,31.877,31.877,0,0
20100108,31.88,2010-01-08,31.88,31.88,0,0
20100111,31.78,2010-01-11,31.78,31.78,0,0
20100112,31.79,2010-01-12,31.79,31.79,0,0
20100113,31.809,2010-01-13,31.809,31.809,0,0
20100114,31.755,2010-01-14,31.755,31.755,0,0
20100115,31.828,2010-01-15,31.828,31.828,0,0
20100118,31.79,2010-01-18,31.79,31.79,0,0
20100119,31.8,2010-01-19,31.8,31.8,0,0
20100120,31.99,2010-01-20,31.99,31.99,0,0
20100121,31.919,2010-01-21,31.919,31.919,0,0
20100122,31.98,2010-01-22,31.98,31.98,0,0
20100125,31.97,2010-01-25,31.97,31.97,0,0
20100126,32.055,2010-01-26,32.055,32.055,0,0
20100127,32.08,2010-01-27,32.08,32.08,0,0
20100128,31.999,2010-01-28,31.999,31.999,0,0
20100129,31.99,2010-01-29,31.99,31.99,0,0
20100201,32.101,2010-02-01,32.101,32.101,0,0
20100202,32.06,2010-02-02,32.06,32.06,0,0
20100203,32.0,2010-02-03,32.0,32.0,0,0
20100204,32.02,2010-02-04,32.02,32.02,0,0
20100205,32.187,2010-02-05,32.187,32.187,0,0
20100206,32.184,2010-02-06,32.184,32.184,0,0
20100208,32.195,2010-02-08,32.195,32.195,0,0
20100209,32.1,2010-02-09,32.1,32.1,0,0
20100210,32.066,2010-02-10,32.066,32.066,0,0
20100211,32.045,2010-02-11,32.045,32.045,0,0
20100212,32.1,2010-02-12,32.1,32.1,0,0
20100222,32.099,2010-02-22,32.099,32.099,0,0
20100223,32.05,2010-02-23,32.05,32.05,0,0
20100224,32.09,2010-02-24,32.09,32.09,0,0
20100225,32.12,2010-02-25,32.12,32.12,0,0
20100226,32.085,2010-02-26,32.085,32.085,0,0
20100301,32.048,2010-03-01,32.048,32.048,0,0
20100302,32.039,2010-03-02,32.039,32.039,0,0
20100303,32.004,2010-03-03,32.004,32.004,0,0
20100304,31.988,2010-03-04,31.988,31.988,0,0
20100305,32.02,2010-03-05,32.02,32.02,0,0
20100308,31.89,2010-03-08,31.89,31.89,0,0
20100309,31.85,2010-03-09,31.85,31.85,0,0
20100310,31.847,2010-03-10,31.847,31.847,0,0
20100311,31.847,2010-03-11,31.847,31.847,0,0
20100312,31.84,2010-03-12,31.84,31.84,0,0
20100315,31.82,2010-03-15,31.82,31.82,0,0
20100316,31.82,2010-03-16,31.82,31.82,0,0
20100317,31.747,2010-03-17,31.747,31.747,0,0
20100318,31.825,2010-03-18,31.825,31.825,0,0
20100319,31.799,2010-03-19,31.799,31.799,0,0
20100322,31.886,2010-03-22,31.886,31.886,0,0
20100323,31.85,2010-03-23,31.85,31.85,0,0
20100324,31.845,2010-03-24,31.845,31.845,0,0
20100325,31.88,2010-03-25,31.88,31.88,0,0
20100326,31.88,2010-03-26,31.88,31.88,0,0
20100329,31.815,2010-03-29,31.815,31.815,0,0
20100330,31.81,2010-03-30,31.81,31.81,0,0
20100331,31.819,2010-03-31,31.819,31.819,0,0
20100401,31.788,2010-04-01,31.788,31.788,0,0
20100402,31.759,2010-04-02,31.759,31.759,0,0
20100406,31.695,2010-04-06,31.695,31.695,0,0
20100407,31.628,2010-04-07,31.628,31.628,0,0
20100408,31.701,2010-04-08,31.701,31.701,0,0
20100409,31.615,2010-04-09,31.615,31.615,0,0
20100412,31.56,2010-04-12,31.56,31.56,0,0
20100413,31.58,2010-04-13,31.58,31.58,0,0
20100414,31.46,2010-04-14,31.46,31.46,0,0
20100415,31.375,2010-04-15,31.375,31.375,0,0
20100416,31.39,2010-04-16,31.39,31.39,0,0
20100419,31.492,2010-04-19,31.492,31.492,0,0
20100420,31.447,2010-04-20,31.447,31.447,0,0
20100421,31.388,2010-04-21,31.388,31.388,0,0
20100422,31.398,2010-04-22,31.398,31.398,0,0
20100423,31.46,2010-04-23,31.46,31.46,0,0
20100426,31.359,2010-04-26,31.359,31.359,0,0
20100427,31.412,2010-04-27,31.412,31.412,0,0
20100428,31.539,2010-04-28,31.539,31.539,0,0
20100429,31.45,2010-04-29,31.45,31.45,0,0
20100430,31.418,2010-04-30,31.418,31.418,0,0
20100503,31.519,2010-05-03,31.519,31.519,0,0
20100504,31.46,2010-05-04,31.46,31.46,0,0
20100505,31.6,2010-05-05,31.6,31.6,0,0
20100506,31.749,2010-05-06,31.749,31.749,0,0
20100507,31.85,2010-05-07,31.85,31.85,0,0
20100510,31.6,2010-05-10,31.6,31.6,0,0
20100511,31.829,2010-05-11,31.829,31.829,0,0
20100512,31.893,2010-05-12,31.893,31.893,0,0
20100513,31.778,2010-05-13,31.778,31.778,0,0
20100514,31.848,2010-05-14,31.848,31.848,0,0
20100517,32.1,2010-05-17,32.1,32.1,0,0
20100518,31.978,2010-05-18,31.978,31.978,0,0
20100519,32.098,2010-05-19,32.098,32.098,0,0
20100520,32.175,2010-05-20,32.175,32.175,0,0
20100521,32.25,2010-05-21,32.25,32.25,0,0
20100524,32.175,2010-05-24,32.175,32.175,0,0
20100525,32.385,2010-05-25,32.385,32.385,0,0
20100526,32.345,2010-05-26,32.345,32.345,0,0
20100527,32.187,2010-05-27,32.187,32.187,0,0
20100528,32.175,2010-05-28,32.175,32.175,0,0
20100531,32.225,2010-05-31,32.225,32.225,0,0
20100601,32.418,2010-06-01,32.418,32.418,0,0
20100602,32.315,2010-06-02,32.315,32.315,0,0
20100603,32.275,2010-06-03,32.275,32.275,0,0
20100604,32.35,2010-06-04,32.35,32.35,0,0
20100607,32.528,2010-06-07,32.528,32.528,0,0
20100608,32.51,2010-06-08,32.51,32.51,0,0
20100609,32.52,2010-06-09,32.52,32.52,0,0
20100610,32.49,2010-06-10,32.49,32.49,0,0
20100611,32.439,2010-06-11,32.439,32.439,0,0
20100614,32.351,2010-06-14,32.351,32.351,0,0
20100615,32.338,2010-06-15,32.338,32.338,0,0
20100617,32.31,2010-06-17,32.31,32.31,0,0
20100618,32.19,2010-06-18,32.19,32.19,0,0
20100621,31.999,2010-06-21,31.999,31.999,0,0
20100622,32.094,2010-06-22,32.094,32.094,0,0
20100623,32.189,2010-06-23,32.189,32.189,0,0
20100624,32.216,2010-06-24,32.216,32.216,0,0
20100625,32.18,2010-06-25,32.18,32.18,0,0
20100628,32.175,2010-06-28,32.175,32.175,0,0
